Stock,Date,Open,High,Low,Close,Volume,Adjusted
AMZN,10/15/2020,3292.01001,3355.879883,3280,3338.649902,5223400,3338.649902
AMZN,10/16/2020,3363.22998,3399.659912,3160,3272.709961,6474400,3272.709961
AMZN,10/19/2020,3299.610107,3329,3192.73999,3207.209961,5223600,3207.209961
AMZN,10/20/2020,3222.280029,3266,3192.01001,3217.01001,4509700,3217.01001
AMZN,10/21/2020,3212.5,3233.879883,3160,3184.939941,4592700,3184.939941
AMZN,10/22/2020,3189.870117,3198.75,3121.939941,3176.399902,4212000,3176.399902
AMZN,10/23/2020,3191,3205.330078,3140,3204.399902,3466700,3204.399902
AMZN,10/26/2020,3198.73999,3282.97998,3153.300049,3207.040039,5901200,3207.040039
AMZN,10/27/2020,3224.939941,3291.659912,3211.300049,3286.330078,4291000,3286.330078
AMZN,10/28/2020,3249.300049,3264.02002,3162.469971,3162.780029,5588300,3162.780029
AMZN,10/29/2020,3201.27002,3257.25,3164,3211.01001,6596500,3211.01001
AMZN,10/30/2020,3157.75,3167,3019,3036.149902,8386400,3036.149902
AMZN,11/2/2020,3061.73999,3079.709961,2950.120117,3004.47998,7257400,3004.47998
AMZN,11/3/2020,3018.530029,3074.899902,2980.97998,3048.409912,4897900,3048.409912
AMZN,11/4/2020,3159.98999,3244.850098,3139.72998,3241.159912,6839000,3241.159912
AMZN,11/5/2020,3319.969971,3366.800049,3288.879883,3322,5789300,3322
AMZN,11/6/2020,3304.639893,3322,3232,3311.370117,4647300,3311.370117
AMZN,11/9/2020,3231.030029,3289,3112.110107,3143.73999,7190400,3143.73999
AMZN,11/10/2020,3095.02002,3114,3019.47998,3035.02002,6591000,3035.02002
AMZN,11/11/2020,3061.780029,3139.149902,3050,3137.389893,4366900,3137.389893
AMZN,11/12/2020,3159.949951,3175.879883,3086.050049,3110.280029,4362000,3110.280029
AMZN,11/13/2020,3122,3141.719971,3085.389893,3128.810059,3756200,3128.810059
AMZN,11/16/2020,3093.199951,3142.699951,3072.689941,3131.060059,3808700,3131.060059
AMZN,11/17/2020,3183.540039,3189.25,3135.26001,3135.659912,3444700,3135.659912
AMZN,11/18/2020,3134,3140,3105.100098,3105.459961,2916800,3105.459961
AMZN,11/19/2020,3105.310059,3125,3080.919922,3117.02002,3010300,3117.02002
AMZN,11/20/2020,3117.02002,3132.889893,3098.050049,3099.399902,3374400,3099.399902
AMZN,11/23/2020,3116.699951,3139.75,3065.459961,3098.389893,4708900,3098.389893
AMZN,11/24/2020,3100.5,3134.25,3086.26001,3118.060059,3602100,3118.060059
AMZN,11/25/2020,3141.870117,3198,3140.26001,3185.070068,3790400,3185.070068
AMZN,11/27/2020,3211.26001,3216.189941,3190.050049,3195.340088,2392900,3195.340088
AMZN,11/30/2020,3208.47998,3228.389893,3125.550049,3168.040039,4063900,3168.040039
AMZN,12/1/2020,3188.5,3248.949951,3157.179932,3220.080078,4544400,3220.080078
AMZN,12/2/2020,3221.649902,3232,3173.26001,3203.530029,3129300,3203.530029
AMZN,12/3/2020,3205.459961,3228.639893,3181.310059,3186.72998,2892000,3186.72998
AMZN,12/4/2020,3198.209961,3198.209961,3158.76001,3162.580078,2913600,3162.580078
AMZN,12/7/2020,3156.47998,3180.76001,3141.689941,3158,2751300,3158
AMZN,12/8/2020,3158.899902,3184.129883,3120.02002,3177.290039,3286300,3177.290039
AMZN,12/9/2020,3167.889893,3174.429932,3088,3104.199951,4100800,3104.199951
AMZN,12/10/2020,3088.98999,3142.100098,3076,3101.48999,3030200,3101.48999
AMZN,12/11/2020,3096.659912,3118.669922,3072.820068,3116.419922,3064700,3116.419922
AMZN,12/14/2020,3143,3190.469971,3126,3156.969971,4155800,3156.969971
AMZN,12/15/2020,3181.01001,3188.5,3130.48999,3165.120117,3323700,3165.120117
